宿場町,旧国名
起点：日本橋,武蔵国
1：品川宿,武蔵国
2：川崎宿,武蔵国
3：神奈川宿,武蔵国
4：保土ケ谷宿,武蔵国
5：戸塚宿,相模国
6：藤沢宿,相模国
7：平塚宿,相模国
8：大磯宿,相模国
9：小田原宿,相模国
10：箱根宿,相模国
11：三島宿,伊豆国
12：沼津宿,駿河国
13：原宿,駿河国
14：吉原宿,駿河国
15：蒲原宿,駿河国
16：由比宿,駿河国
17：興津宿,駿河国
18：江尻宿,駿河国
19：府中宿,駿河国
20：丸子宿（鞠子）,駿河国
21：岡部宿,駿河国
22：藤枝宿,駿河国
23：島田宿,駿河国
24：金谷宿,遠江国
25：日坂宿,遠江国
26：掛川宿,遠江国
27：袋井宿,遠江国
28：見附宿,遠江国
29：浜松宿,遠江国
30：舞阪宿,遠江国
31：新居宿,遠江国
32：白須賀宿,遠江国
33：二川宿,三河国
34：吉田宿,三河国
35：御油宿,三河国
36：赤坂宿,三河国
37：藤川宿,三河国
38：岡崎宿,三河国
39：池鯉鮒宿,三河国
40：鳴海宿,尾張国
41：宮宿（熱田）,尾張国
42：桑名宿,伊勢国
43：四日市宿,伊勢国
44：石薬師宿,伊勢国
45：庄野宿,伊勢国
46：亀山宿,伊勢国
47：関宿,伊勢国
48：坂下宿,伊勢国
49：土山宿,近江国
50：水口宿,近江国
51：石部宿,近江国
52：草津宿,近江国
53：大津宿,近江国
終点：三条大橋,山城国
